station_j,m,t,inventory_MWh
134,0,2,0.1
134,0,3,0.1
134,1,0,0.088
134,1,2,0.088
134,1,3,0.088
134,2,0,0.088
134,2,2,0.088
134,2,3,0.088
134,3,0,0.088
134,3,2,0.088
134,3,3,0.088
135,0,0,0.088
135,0,2,0.088
135,0,3,0.088
135,1,0,0.088
135,1,2,0.088
135,1,3,0.088
135,3,0,0.088
135,3,2,0.088
135,3,3,0.088
136,0,0,0.088
136,0,2,0.088
136,0,3,0.088
136,2,0,0.1
136,2,1,0.1
136,2,2,0.1
136,2,3,0.1
136,3,0,0.088
136,3,2,0.088
136,3,3,0.088
137,0,0,0.088
137,0,2,0.088
137,0,3,0.088
137,1,0,0.1
137,1,1,0.01200000000000001
137,1,2,0.1
137,1,3,0.1
137,2,0,0.088
137,2,2,0.088
137,2,3,0.088
137,3,0,0.1
137,3,1,0.01200000000000001
137,3,2,0.1
137,3,3,0.1
139,0,0,0.088
139,0,2,0.1
139,1,0,0.088
139,1,2,0.1
139,2,0,0.088
139,2,2,0.1
139,3,0,0.088
139,3,2,0.1
141,0,0,0.088
141,0,2,0.1
141,0,3,0.088
141,1,0,0.1
141,1,1,0.01200000000000001
141,1,2,0.1
141,1,3,0.1
141,2,0,0.088
141,2,2,0.088
141,2,3,0.088
141,3,0,0.088
141,3,2,0.1
141,3,3,0.088
145,0,0,0.088
145,0,2,0.1
145,1,0,0.088
145,1,2,0.1
145,2,0,0.088
145,2,2,0.1
145,3,0,0.088
145,3,2,0.1
147,0,0,0.088
147,0,2,0.1
147,1,0,0.088
147,1,2,0.1
147,2,0,0.088
147,2,2,0.1
147,3,0,0.088
147,3,2,0.1
149,0,0,0.088
149,0,2,0.1
149,1,0,0.1
149,1,1,0.01200000000000026
149,1,2,0.1
149,1,3,0.1
149,2,0,0.088
149,2,2,0.088
149,2,3,0.088
149,3,0,0.088
149,3,2,0.1
149,3,3,0.088
152,0,0,0.088
152,0,2,0.1
152,1,0,0.088
152,1,2,0.1
152,2,0,0.088
152,2,2,0.1
152,3,0,0.088
152,3,2,0.1
154,0,0,0.1
154,0,1,0.01200000000000001
154,0,2,0.1
154,0,3,0.1
154,1,0,0.1
154,1,1,0.01200000000000001
154,1,2,0.1
154,1,3,0.1
154,2,0,0.088
154,2,2,0.088
154,2,3,0.088
154,3,0,0.088
154,3,2,0.088
154,3,3,0.088
155,0,0,0.088
155,0,2,0.1
155,1,0,0.088
155,1,2,0.1
155,2,0,0.088
155,2,2,0.1
155,3,0,0.088
155,3,2,0.1
156,0,0,0.088
156,0,2,0.1
156,1,0,0.088
156,1,2,0.1
156,2,0,0.088
156,2,2,0.1
156,3,0,0.088
156,3,2,0.1
159,0,0,0.088
159,0,2,0.088
159,0,3,0.088
159,3,0,0.1
159,3,1,0.01200000000000001
159,3,2,0.1
159,3,3,0.1
163,0,0,0.1
163,0,1,0.01200000000000001
163,0,2,0.1
163,0,3,0.1
163,3,0,0.088
163,3,2,0.088
163,3,3,0.088
164,0,0,0.088
164,0,2,0.1
164,1,0,0.088
164,1,2,0.1
164,2,0,0.088
164,2,2,0.1
164,3,0,0.088
164,3,2,0.1
165,0,0,0.088
165,0,2,0.1
165,1,0,0.088
165,1,2,0.1
165,2,0,0.088
165,2,2,0.1
165,3,0,0.088
165,3,2,0.1
166,0,0,0.088
166,0,2,0.1
166,1,0,0.088
166,1,2,0.1
166,2,0,0.088
166,2,2,0.1
166,3,0,0.088
166,3,2,0.1
169,0,0,0.088
169,0,2,0.1
169,1,0,0.088
169,1,2,0.1
169,2,0,0.088
169,2,2,0.1
169,3,0,0.088
169,3,2,0.1
171,0,0,0.1
171,0,1,0.01200000000000001
171,0,2,0.1
171,0,3,0.1
171,3,0,0.088
171,3,2,0.088
171,3,3,0.088
174,0,0,0.088
174,0,2,0.088
174,0,3,0.088
174,3,0,0.088
174,3,2,0.088
174,3,3,0.088
175,0,0,0.088
175,0,2,0.1
175,1,0,0.088
175,1,2,0.1
175,2,0,0.088
175,2,2,0.1
175,3,0,0.088
175,3,2,0.1
178,0,0,0.1
178,0,1,0.01200000000000001
178,0,2,0.1
178,0,3,0.1
179,0,0,0.088
179,0,2,0.1
179,1,0,0.088
179,1,2,0.1
179,2,0,0.088
179,2,2,0.1
179,3,0,0.088
179,3,2,0.1
182,0,0,0.088
182,0,2,0.1
182,1,0,0.088
182,1,2,0.1
182,2,0,0.088
182,2,2,0.1
182,3,0,0.088
182,3,2,0.1
184,0,0,0.1
184,0,1,0.01200000000000001
184,0,2,0.1
184,0,3,0.1
184,1,0,0.1
184,1,1,0.01200000000000001
184,1,2,0.1
184,1,3,0.1
184,2,0,0.088
184,2,2,0.088
184,2,3,0.088
184,3,0,0.088
184,3,2,0.088
184,3,3,0.088
185,0,0,0.1
185,0,1,0.01200000000000001
185,0,2,0.1
185,0,3,0.1
185,2,0,0.1
185,2,1,0.1
185,2,2,0.1
185,2,3,0.1
185,3,0,0.088
185,3,2,0.088
185,3,3,0.088
186,0,0,0.088
186,0,2,0.088
186,0,3,0.088
186,3,0,0.088
186,3,2,0.088
186,3,3,0.088
187,3,0,0.1
187,3,1,0.1
187,3,2,0.1
187,3,3,0.1
188,0,0,0.1
188,0,1,0.01200000000000001
188,0,2,0.1
188,0,3,0.1
